genus_species,AUTHOR,order,suborder,family,year,Rege.Date.Source,Intentional_Release,Host_Group,origin,origin2,PHAGY,Source,Synonym,TSN,Canada.or.US,Confirmed.Establishment,Comment,eradicated
Tetrastichus sokolowskii,Kurdjumov,Hymenoptera,"NA",Eulophidae,1952,"Krombein, Karl V. et.al. 1979. Catalog of Hymenoptera in America North of Mexico. Vol 1.  Smithsonian Institution Press.","NA",in Europe: C. murinana,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Tetrastichus tineivorus,Ferriere,Hymenoptera,"NA",Eulophidae,"NA","NA","NA",Rhyacionia frustana (Comstock): Nantucket pine tip moth,"NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Tetrastichus turionum,(Hartig),Hymenoptera,"NA",Eulophidae,1931,"NA",I,navel orangeworm: Amyelois transitella,Palearctic(Europe),"NA",Parasite,"Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.
Ag Handbook 480 pg. 219-220","NA","NA","NA","NA","NA",NA
Tetropium castaneum,(Linnaeus),Coleoptera,"NA",Cerambycidae,2001,"NA",N,fruit trees: ornamental plants and flowers,"NA","NA","Xylophagous, larvae develop in the inner bark and outer sapwood of conifers",http://www.inspection.gc.ca/plants/plant-protection/insects/european-spruce-longhorn-beetle/fact-sheet/eng/1328124395186/1328124873587; http://www.ipm.msu.edu/uploads/files/Forecasting_invasion_risks/blackSpruceBeetle.pdf,"NA","NA","NA","NA","NA",NA
Tetropium fuscum,Fabricius,Coleoptera,"NA",Cerambycidae,1990,"NA","NA",fruit trees: industrial crops: ornamental plants and flowers,Palearctic(Europe),"NA","NA",http://spfnic.fs.fed.us/exfor/data/pestreports.cfm?pestidval=122&langdisplay=english,"NA","NA","NA","NA","NA",NA
Tetrops praeusta,(Linnaeus),Coleoptera,"NA",Cerambycidae,1996,"NA",N,ornamental plants and flowers: fruit trees,Palearctic(Europe),"NA",Xylophagous,Aukema,"NA","NA","NA","NA","NA",NA
Thamnotettix zelleri,Kirschbaum,Hemiptera,Auchenorrhyncha,Cicadellidae,2002,"Hamilton, K.G. Andrew, Canadian National Collection of Insects, Arachnids and Nematodes; http://www.canacoll.org/Hemip/Staff/Hamilton/Hamilton-introspp.htm","NA","NA",Palearctic(Europe),"NA","NA","Hamilton, K.G. Andrew, Canadian National Collection of Insects, Arachnids and Nematodes; http://www.canacoll.org/Hemip/Staff/Hamilton/Hamilton-introspp.htm","NA","NA","NA","NA","NA",NA
Thaneroclerus buqueti,(Lefebvre),Coleoptera,"NA",Cleridae,1820,"NA","NA",ornamental plants and flowers: fruit trees,Palearctic(Asia),"NA","NA",Denux (2010) Coleoptera families other than Cerambycidae Curculionidae sensu lato Chrysomelidae sensu lato and Coccinelidae Chapter 8.5.BioRisk 4: 315ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“406,"NA","NA","NA","NA","NA",NA
Thecabius affinis,"NA",Hemiptera,"NA",Aphididae,"NA",Skvarla 2017,"NA","NA",Palearctic(Europe) Palearctic(Asia),"NA","NA",Skvarla 2017,"NA","NA","NA",Y,has unknown start date due to similarity with another species,NA
Thecabius lysimachiae,Borner,Hemiptera,"NA",Aphididae,1956,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA",Aukema,"NA","NA",US,Y,"NA",NA
Themira annulipes,Meigan,Diptera,"NA",Sepsidae,"NA","NA","NA",food crops and vegetables: fruit trees,"NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Themira biloba,Andersson,Diptera,"NA",Sepsidae,2006,"Meier, Rudolf, 2007. Themira biloba (Diptera: Sepsidae), a species from Manhattan's Central Park that is new to the nearctic region. Journal of the New York Entomological Society, 114(3): 176-177.","NA","NA",Palearctic(Europe),"NA","NA","Meier, Rudolf, 2007. Themira biloba (Diptera: Sepsidae), a species from Manhattan's Central Park that is new to the nearctic region. Journal of the New York Entomological Society, 114(3): 176-177.","NA","NA","NA","NA","NA",NA
Themira nigricornis,Meigan,Diptera,"NA",Sepsidae,1940,"Steyskal, George. 1946. Themira nigricornis Meigen in North America, with a revised key to the nearctic species of Themira (Diptera: Sepsidae); Entomological News, Academy of Natural Sciences of Philadelphia, American Entomological Society, 57(4): 93.","NA",fruit trees: industrial crops: forage crops and grasses: ornamental plants and flowers: food crops and vegetables,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Theoborus solitariceps,(Schedl),Coleoptera,"NA",Curculionidae,1986,"NA",N,"NA",Neotropic,"NA",Herbivore,"Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28
Bark and Ambrosia beetles 1982, pg. 775-6.","NA","NA","NA","NA","NA",NA
Thera juniperata,Linnaeus,Lepidoptera,"NA",Geometridae,1940,"NA","NA","NA",Palearctic(Europe),"NA","NA",Ferguson (1975) Host Records for Lepidoptera Reared in Eastern North America. USDA Technical Bulletin No.1521,"NA","NA","NA","NA","NA",NA
Therioaphis maculata,(Buckton),Hemiptera,"NA",Aphididae,1879,"NA","NA","NA",Palearctic(Europe) Palearctic(Asia),"NA","NA",Frank and McCoy (1993) Introduction to the Behavioral Ecology of Introduction. The Introduction of Insects into Florida. The Florida Entomologist 76 1-53.,Therioaphis trifolii,200679,US,N,"Two starting dates for same species, this one is a subspecies of Therioaphis trifolii",NA
Therioaphis riehmi,Borner,Hemiptera,"NA",Aphididae,1948,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA",BugGuide,"NA","NA",US,Y,"NA",NA
Therioaphis tenera,"NA",Hemiptera,"NA",Aphididae,1997,Skvarla 2017,"NA","NA",Palearctic(Europe),"NA","NA",Skvarla 2017,"NA","NA",Canada,Y,"NA",NA
Theroscopus oxyphymus,(Gravenhorst),Hymenoptera,"NA",Ichneumonidae,1912,"NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Thes bergrothi,(Reitter),Coleoptera,"NA",Lathridiidae,1962,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Thinobius delicatulus,Kraatz,Coleoptera,"NA",Staphylinidae,"NA","T. delicatulus is listed in Herman, but not for North America","NA",forest trees,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Thorictodes heydeni,Reitter,Coleoptera,"NA",Thorictidae,1937,"NA","NA",fruit trees: food crops and vegetables,Afrotropic,"NA","NA",Beal Jr (1961) Coleoptera: Dermestidae. Insect of Micronesia 16: 111-131,"NA","NA","NA","NA","NA",NA
Thrips albopilosus,Uzel,Thysanoptera,"NA",Thripidae,"NA","NA","NA",food crops and vegetables: fruit trees,"NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Thrips calcaratus,Uzel,Thysanoptera,"NA",Thripidae,1925,"NA","NA",Polygonum spp. (P. aviculare: P. convolvulus),Palearctic(Europe),"NA","NA","Raffa and Hall (1988) Thrips calcaratus Uzel (Thysanoptera: Thripidae) a new pest of basswood trees in the Great Lakes region. Canadian Journal of Forest Research 18(12), 1661-1662.","NA","NA","NA","NA","NA",NA
Thrips discolor,Haliday,Thysanoptera,"NA",Thripidae,1926,"NA","NA","NA",Palearctic(Europe),"NA","NA","NANIAD
Nakahara (1994) The genus Thrips Linnaeus (Thysanoptera: Thripidae) of the New World. USDA. Agricultural Research Service. Technical Bulletin 1822, 1-183.","NA","NA","NA","NA","NA",NA
Thrips florum,Schmutz,Thysanoptera,"NA",Thripidae,1976,"NA","NA","NA",Palearctic(Asia),"NA","NA","NANIAD
Nakahara (1985) Review of Thrips hawaiiensis and revalidation of T. florum (Thysanoptera: Thripidae). Proc. Entomol. Soc. Wash. 87(4): 864ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“870","NA","NA","NA","NA","NA",NA
Thrips fuscipennis,Haliday,Thysanoptera,"NA",Thripidae,1943,"NA","NA",food crops and vegetables: ornamental plants and flowers,Palearctic(Europe),"NA","NA","NANIAD
Fedor and DoriÃƒâ€žÃ‚ÂovÃƒÆ’Ã‚Â¡ (2008) Diversity of thrips (Thysanoptera) in the region of Bratislava (SW Slovakia). Thysanopteron, 4(1)","NA","NA","NA","NA","NA",NA
Thrips hawaiiensis,(Morgan),Thysanoptera,"NA",Thripidae,1967,"NA","NA",forest trees:,Indomalaya,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Thrips herricki,Bagnall,Thysanoptera,"NA",Thripidae,1926,"NA","NA",forest trees:,Palearctic(Europe),"NA","NA",Fedor et al (2004) The thrips (Thysanoptera) of Slovakia. Acta Phytopathologica et Entomologica Hungarica 39(1): 301-309.,"NA","NA","NA","NA","NA",NA
Thrips nigropilosus,Uzel,Thysanoptera,"NA",Thripidae,1896,"NA","NA",Mentha spp.,Palearctic(Europe),"NA","NA",Sakimura (1939) On the Host Plants of Some Hawaiian Thrips. Proc Hawaii Entomol Soc: 251-254,"NA","NA","NA","NA","NA",NA
Thrips orientalis,(Bagnall),Thysanoptera,"NA",Thripidae,1982,"NA","NA","NA",Indomalaya,"NA","NA",http://keys.lucidcentral.org/keys/v3/thrips_of_california/identify-thrips/key/california-thysanoptera-2012/Media/Html/browse_species/Thrips_orientalis.htm,"NA","NA","NA","NA","NA",NA
Thrips palmi,Karny,Thysanoptera,"NA",Thripidae,1990,"NA","NA",tansy ragwort: Senecio jacobaea,Indomalaya,"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Thrips pini,(Uzel),Thysanoptera,"NA",Thripidae,1931,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Thrips simplex,(Morison),Thysanoptera,"NA",Thripidae,1932,"NA","NA","NA",Afrotropic,"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Thrips tabaci,Lindeman,Thysanoptera,"NA",Thripidae,1872,"NA","NA","NA",Palearctic(Asia),"NA","NA","NANIAD
Boone (1999) Integrated pest management of Thrips tabaki Lindeman [Thysanoptera: Thripidae] in Green house cucumber protection. Nova Scotia Agricultural Colleage . sD thesis","NA","NA","NA","NA","NA",NA
Thrips validus,Uzel,Thysanoptera,"NA",Thripidae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA","NANIAD
BÃƒâ€žÃ†â€™rbuceanu and Vasiliu-Oromulu. THRIPS SPECIES (INSECTA: THYSANOPTERA) OF ORNAMENTAL PLANTS FROM THE PARKS AND GREENHOUSES OF ADP PITEST (http://www.upit.ro/uploads/facultatea_st/CTNS_1_1/Paper%207.pdf)","NA","NA","NA","NA","NA",NA
Thylacites incanus,(Linnaeus),Coleoptera,"NA",Curculionidae,1800,"NA","NA",food crops and vegetables: forage crops and grasses,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Thylodrias contractus,Motshulsky,Coleoptera,"NA",Dermestidae,1902,"Majka, Christopher G.; 2007; The Derodontidae, Dermestidae, Bostrichidae, and Anobiidae of the Maritime Provinces of Canada (Coleoptera: Bostrichiformia), Magnolia Press, Zootaxa 1573: 1-38. pg. 34.","NA","NA","NA","NA","NA","Majka, Christopher G.; 2007; The Derodontidae, Dermestidae, Bostrichidae, and Anobiidae of the Maritime Provinces of Canada (Coleoptera: Bostrichiformia), Magnolia Press, Zootaxa 1573: 1-38. pg. 34.","NA","NA","NA","NA","NA",NA
Thymelicus lineola,(Ochsenheimer),Lepidoptera,"NA",Hesperiidae,1910,"NA","NA","NA",Palearctic(Asia)  Palearctic(Europe),"NA","NA",http://en.wikipedia.org/wiki/Essex_Skipper,"NA","NA","NA","NA","NA",NA
Thysanofiorinia nephelii,(Maskell),Hemiptera,Sternorrhyncha,Diaspididae,1996,"NA","NA","NA",Palearctic(Asia)  Indomalaya  Palearctic(Europe) Afrotropic,"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Tigonotylus tenius,Reuter,Hemiptera,Prosorrhyncha,Miridae,1926,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Timberlakia europaea,(Mercet),Hymenoptera,"NA",Encyrtidae,1975,"NA",I,"NA","NA","NA",Parasite,NANIAD,"NA","NA","NA","NA","NA",NA
Tinea pellionella,(Linnaeus),Lepidoptera,"NA",Tineidae,1841,"NA","NA",textile fiberfurskindrug and biological dried-specimens: stored products,Palearctic(Europe),"NA","NA","NANIAD
http://www.moth-prevention.com/pages/case-bearing-clothes-moth","NA","NA","NA","NA","NA",NA
Tineola bisselliella,(Hummel),Lepidoptera,"NA",Tineidae,1860,"NA","NA",stored products: textile fiberfurskindrug and biological dried-specimens: books and documents,Palearctic(Europe),"NA","NA",http://eol.org/pages/246730/overview,"NA","NA","NA","NA","NA",NA
Tinocallis platani,Kaltenbach,Hemiptera,"NA",Aphididae,1927,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA",Aukema,"NA","NA",Canada,Y,"NA",NA
Tinocallis saltans,(Nevsky),Hemiptera,"NA",Aphididae,1986,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Asia),"NA","NA",Aukema,"NA","NA",US,Y,"NA",NA
Tinocallis takachihoensis,Higuchi,Hemiptera,"NA",Aphididae,1996,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Asia),"NA","NA","Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",US,Y,"NA",NA
Tinocallis ulmiparvifoliae,Matsumura,Hemiptera,"NA",Aphididae,1998,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Asia),"NA","NA","Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",US,Y,"NA",NA
Tinocallis zelkowae,Takahashi,Hemiptera,"NA",Aphididae,1983,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Asia),"NA","NA","Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","Ctenocallis zelkowae, Tinocallis nirecola","NA",US,Y,"NA",NA
Tiphia asericae,AllenandJaynes,Hymenoptera,"NA",Tiphiidae,1930,"NA","NA","NA",Palearctic(Asia),"NA","NA",Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.,"NA","NA","NA","NA","NA",NA
Tiphia popilliavora,Rohwer,Hymenoptera,"NA",Tiphiidae,1920,"NA",I,"NA",Palearctic(Asia) Korea China,"NA",Parasite,"Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.
Ag Handbook 480 pg. 288","NA","NA","NA","NA","NA",NA
Tiphia vernalis,Rohwer,Hymenoptera,"NA",Tiphiidae,1924,"NA",I,"NA",Palearctic(Asia),"NA",Parasite,"Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.
Ag Handbook 480 pg. 288","NA","NA","NA","NA","NA",NA
Tipnus unicolor,Piller & Mitterpacher,Coleoptera,"NA",Anobiidae,1620,"Majka, Christopher G.; 2007; The Derodontidae, Dermestidae, Bostrichidae, and Anobiidae of the Maritime Provinces of Canada (Coleoptera: Bostrichiformia), Magnolia Press, Zootaxa 1573: 1-38. pg. 35.","NA","NA","NA","NA","NA","Majka, Christopher G.; 2007; The Derodontidae, Dermestidae, Bostrichidae, and Anobiidae of the Maritime Provinces of Canada (Coleoptera: Bostrichiformia), Magnolia Press, Zootaxa 1573: 1-38. pg. 35.","NA","NA","NA","NA","NA",NA
Tipula oleracea,"NA",Diptera,"NA",Tipulidae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA","NA","Taschereau, E., Simard, L., Brodeur, J., Gelhaus, J., BÃƒâ€¦Ã‚Â½lair, G. and Dionne, J., 2009. Seasonal ecology of the European crane fly (Tipula paludosa) and species diversity of the family Tipulidae on golf courses in Quebec, Canada. International Turfgrass Society Research Journal, 11(1), pp.681-693.","NA","NA","NA","NA",NA
Tipula paludosa,Linnaeus,Diptera,"NA",Tipulidae,1880,"Alexander, C. P. 1942. Family Tipulidae.p. 196-509. In Part VI. The Diptera of true flies of Connecticut. Conn. St. Geol. Nat. Hist. Surv. Bull. 64.","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Tmetothrips subapterus,(Haliday),Thysanoptera,"NA",Thripidae,1975,"Hoebeke, E. Richard, and A.G. Wheeler, Jr. 1983. Exotic insects reported new to northeastern United States and eastern Canada since 1970. Journal of the New York Entomological Society 91(3): 193-222.; Anonymous. 1976. U.S. Dept. Agric., Coop. Econ. Ins. Rep. 1(43): 798.","NA","NA",Palearctic(Europe),"NA","NA",Hoebeke and Wheeler (1983) Exotic insects reported new to northeastern United States and eastern Canada since 1970. New York Entomological Society 91 193-222,"NA","NA","NA","NA","NA",NA
Tomicus piniperda,(Linnaeus),Coleoptera,"NA",Curculionidae,1991,http://www.invasivespeciesinfo.gov/animals/psb.shtml,"NA",ornamental plants and flowers: fruit trees,Palearctic(Europe),"NA","NA",Aukema,"NA","NA","NA","NA","NA",NA
Tomoglossa luteicornis,Erichson,Coleoptera,"NA",Staphylinidae,"NA","NA","NA",food crops and vegetables:,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Torymus varians,(Walker),Hymenoptera,"NA",Torymidae,1909,"NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Townsendiellomyia midicola,Townsend,Diptera,"NA",Tachinidae,1905,"NA",I,food crops and vegetables,Palearctic(Europe),"NA",Parasite,"Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.
Ag Handbook 480 pg. 202","NA","NA","NA","NA","NA",NA
Toxotrypana curvicauda,Gerstaecker,Diptera,"NA",Tephritidae,1905,"NA","NA",food crops and vegetables: forage crops and grasses,Neotropic,"NA","NA",http://www.sel.barc.usda.gov/diptera/tephriti/Toxotryp/curvic.htm,"NA","NA","NA","NA","NA",NA
Trachelus tabidus,(Fabricius),Hymenoptera,"NA",Cephidae,1899,"NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Trachodes hispidus,(Linnaeus),Coleoptera,"NA",Curculionidae,1957,"NA","NA",On fruits of European ash,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Trachymyrmex jamaicensis,(Andre),Hymenoptera,"NA",Formicidae,1945,"Smith, M.R. 1951.Family Formicidae. Pp. 778-875 in C.F.W. Muesebeck, K.V. Krombein, and H.K. Townes, eds. Hymenoptera of North America north of Mexico. Synoptic catalog. U>S> Dept. Agr. Monogr. 2:1420 pp.;http://www.antweb.org/browse.do?genus=trachymyrmex&species=jamaicensis&rank=species&project=allantwebants","NA",food crops and vegetables: ornamental plants and flowers,Neotropic,"NA","NA",Torres (1999) The effects of the fungus-growing ant Trachymyrmex jamaicensis on soil fertility and seed germination in a subtropical dry forest. Tropical Entomology 40: 237-245,"NA","NA","NA","NA","NA",NA
Trachyphloeosoma advena,Zimmerman,Coleoptera,"NA",Curculionidae,1976,"NA","NA","NA",Palearctic(Asia),"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Trachyphloeus bifoveolatus,(Beck),Coleoptera,"NA",Curculionidae,1917,"NA","NA","NA",Palearctic(Europe),"NA","NA","Langor DW DeHaas LJ Foottit RG (2009) Diversity of non-native terrestrial arthropods on woody plants in Canada. Ecological Impacts of Non-Native Invertebrates and Fungi on Terrestrial Ecosystems. Springer Netherlands, 2009. 5-19.
BugGuide","NA","NA","NA","NA","NA",NA
Trachys pygmaea,(Fabricius),Coleoptera,"NA",Buprestidae,1949,"NA",N,fruit trees: food crops and vegetables,Palearctic(Europe),"NA",Plant-feeder,http://bugguide.net/node/view/419679#synonyms,"NA","NA","NA","NA","NA",NA
Trama rara,Mordvilko,Hemiptera,"NA",Aphididae,1929,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA",BugGuide,"NA","NA",US,Y,"NA",NA
Tranes internatus,Pascoe,Coleoptera,"NA",Curculionidae,1965,"NA","NA",On European ash,Australasia,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Trechus discus,Fabricius,Coleoptera,"NA",Carabidae,1933,"NA",N,"NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Trechus obtusus,Erichson,Coleoptera,"NA",Carabidae,1927,"NA",N,"NA",Palearctic(Europe),"NA","NA","Pan-Pacific Entomologist, 61(2), 1985 pp. 170-179","NA","NA","NA","NA","NA",NA
Trechus rubens,Fabricius,Coleoptera,"NA",Carabidae,1875,"NA",N,Infests seeds of port orford cedar,Palearctic(Europe),"NA","NA","Pan-Pacific Entomologist, 61(2), 1985 pp. 170-180","NA","NA","NA","NA","NA",NA
Trialeurodes vaporariorum,(Westwood),Hemiptera,Sternorrhyncha,Aleyrodidae,1870,"NA","NA","NA",Australasia,"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Triaspis thoracica,(Curtis),Hymenoptera,"NA",Braconidae,"NA",Introduced but not established,I,parasite of boll weevil: Anthonomus grandis,"NA","NA",Larval Parasite,Ag Handbook 480 pg. 246,"NA","NA","NA","NA","NA",NA
Tribolium castaneum,(Herbst),Coleoptera,"NA",Tenebrionidae,1860,"Bain, A. 1999. Archaeoentomological and archaeoparasitological reconstructions at ÃƒÆ’Ã…Â½lot Hunt (CeEt-110): new perspectives in historical archaeology (1850-1900). Ph.D. thesis, University of Laval, QuÃƒÆ’Ã‚Â©bec, Quebec.","NA",ornamental plants and flowers,Australasia,"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Tribolium confusum,Jacquelin du Val,Coleoptera,"NA",Tenebrionidae,1860,"Bain, A. 1999. Archaeoentomological and archaeoparasitological reconstructions at ÃƒÆ’Ã…Â½lot Hunt (CeEt-110): new perspectives in historical archaeology (1850-1900). Ph.D. thesis, University of Laval, QuÃƒÆ’Ã‚Â©bec, Quebec.","NA",ornamental plants and flowers: fruit trees,Afrotropic,"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Tribolium destructor,Uyttenboogaart,Coleoptera,"NA",Tenebrionidae,1937,"Majka, C. G., Bouchard, P., Bousquet, Y., 2008. Tenebrionidae (Coleoptera) of the maritime provinces of Canada. Can. Entomol. 140:690-713.","NA",ornamental plants and flowers: fruit trees,Afrotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Trichadenotecnum circularoides,Badonnel,Psocoptera,"NA",Psocidae,1952,"NA","NA","NA",Afrotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Trichadenotecnum majus,"NA",Psocoptera,"NA",Psocidae,"NA","NA","NA","NA",Palearctic(Europe) Palearctic(Asia),"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Trichogramma atopovirilia,OatmanandPlatner,Hymenoptera,"NA",Trichogrammatidae,"NA","NA","NA","NA",Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Trichogramma chilonis,Ishii,Hymenoptera,"NA",Trichogrammatidae,"NA","NA","NA","NA",Palearctic(Asia),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Trichogramma evanescens,Westwood,Hymenoptera,"NA",Trichogrammatidae,1966,"NA",I,"NA",Palearctic(Europe),"NA",Parasite,Clausen (1978) Introduced parasites and predators of arthropod pests and weeds: a world review. Agriculture Handbook United States Department of Agricultre (480). pg. 224-5,"NA","NA","NA","NA","NA",NA
Trichogramma semblidis,(Aurivillius),Hymenoptera,"NA",Trichogrammatidae,"NA","NA","NA",alfalfa,Palearctic(Asia)  Palearctic(Europe),"NA","NA",Nagarkatti (1977) Biosystematics of Trichogramma and Trichogrammatoidea species. Ann. Rev. Entomol. 22: 157-176,"NA","NA","NA","NA","NA",NA
Trichogrammatoidea annulata,DeSantis,Hymenoptera,"NA",Trichogrammatidae,"NA","NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Trichomalus perfectus,(Walker),Hymenoptera,"NA",Pteromalidae,1936,"NA","NA","NA",Palearctic(Europe),"NA","NA",Muller (2007) Review of the species of Trichomalus (Chalcidoidea: Pteromalidae) associated with Ceutorhynchus (Coleoptera: Curculionidae) host species of European origin. Canadian Entomologist 139: 643-657.,"NA","NA","NA","NA","NA",NA
Trichomalus statutus,(Foerster),Hymenoptera,"NA",Pteromalidae,1970,"Hoebeke, E. Richard, and A.G. Wheeler, Jr. 1983. Exotic insects reported new to northeastern United States and eastern Canada since 1970. Journal of the New York Entomological Society 91(3): 193-222.; Allen, W.A. 1971. U.S. Dept. Agric., Coop. Econ. Ins. Rep. 21(23): 400.","NA",Target host: Anastrepha suspensa; Caribbean fruit fly,Palearctic(Europe),"NA","NA",Hoebeke and Wheeler (1983) Exotic insects reported new to northeastern United States and eastern Canada since 1970. New York Entomological Society 91 193-222,"NA","NA","NA","NA","NA",NA
Trichomasthus albimanus,Thomson,Hymenoptera,"NA",Encyrtidae,"NA","NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Trichomasthus niloticus,Compere,Hymenoptera,"NA",Encyrtidae,"NA","NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Trichonyx sulcicollis,(Rreichenbach),Coleoptera,"NA",Pselaphidae,1931,"NA","NA",forest trees: ornamental plants and flowers,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Trichophaga tapetzella,(Linnaeus),Lepidoptera,"NA",Tineidae,1841,"NA","NA",stored products: textile fiberfurskindrug and biological dried-specimens: books and documents,Palearctic(Europe),"NA","NA","NANIAD
Jalava and Kyrki (1980) Notes on the taxonomy and distribution of western Palaearctic Trichophaga species (Lepidoptera, Tineidae). Notulae Entomologicae. 60: 107-110.","NA","NA","NA","NA","NA",NA
